lat1,lon1,lat2,lon2,distanceMeters,roadType,reportId,speedLimit,_id,rba_id,street_name
56.16389697427008,10.18616224669654,56.16929516572502,10.194526468751974,810,MAJOR_ROAD,180952,60,79,182224,None
56.17124851709378,10.156836627140033,56.17636991803806,10.178543744697558,1471,STREET,1164,65,450,1811,Åby Ringvej
56.1589844936963,10.182944170639075,56.16389697427008,10.18616224669654,600,MAJOR_ROAD,181006,60,81,182228,None
56.148242094184255,10.149874309192683,56.154610138216704,10.157440224536913,1540,MAJOR_ROAD,187165,64,152,189676,None
56.13236396838821,10.211722754631069,56.136738858609256,10.20776318039134,540,MAJOR_ROAD,201345,61,357,229497,Strandvejen
56.105069529457616,10.206927436840033,56.114487000000004,10.207854230653766,1075,MAJOR_ROAD,201507,60,363,229509,Oddervej
56.11067162844458,10.12228671163939,56.11996007421442,10.083678288360602,2905,MAJOR_ROAD,201722,77,371,229525,Møllebakken
56.125829583613914,10.157709017196566,56.11814500000001,10.148131067458962,1215,MAJOR_ROAD,201934,71,379,229541,Skanderborgvej
56.23489759702643,10.125013142824173,56.21740644105506,10.10702759027481,2335,MAJOR_ROAD,158475,112,6,159703,Nordjyske Motorvej
56.21508593264829,10.13978019262504,56.22579478256016,10.116589665412903,2065,MAJOR_ROAD,158505,70,7,159780,Søftenvej
56.23489759702643,10.125013142824173,56.21385651069573,10.144907008598352,3255,MAJOR_ROAD,158536,109,8,159874,Nordjyske Motorvej
56.21399075104399,10.145073305557275,56.23490211108693,10.12519614484404,3030,MAJOR_ROAD,158565,108,9,159952,15
56.21731711429131,10.10711200000003,56.21385651069573,10.144907008598352,2850,MAJOR_ROAD,158595,110,10,160088,Østjyske Motorvej
56.21399075104399,10.145073305557275,56.21740644105506,10.10702759027481,3655,MAJOR_ROAD,158624,108,11,160378,15
56.21385651069573,10.144907008598352,56.22521120818609,10.246299305557386,6715,MAJOR_ROAD,158655,110,12,160456,15
56.22537224883195,10.246154466270468,56.21399075104399,10.145073305557275,6695,MAJOR_ROAD,158684,110,13,160779,Djurslandmotorvejen
56.21385651069573,10.144907008598352,56.20852026816215,10.161038385250095,1175,MAJOR_ROAD,158715,103,14,160818,15
56.190387445286476,10.223110775463056,56.18655111946821,10.218124775463139,600,MAJOR_ROAD,193159,54,260,229122,Vestre Strandalle
56.159418709313904,10.187763760747885,56.162446952950255,10.17839594725615,650,MAJOR_ROAD,182846,52,101,183589,None
56.153135887760996,10.139060373016491,56.154610138216704,10.157440224536913,1160,MAJOR_ROAD,183037,62,108,183603,None
56.15591411050229,10.176133542327875,56.1589844936963,10.182944170639075,720,MAJOR_ROAD,188145,54,189,189750,None
56.21155278296297,10.27770202943043,56.229971546821645,10.293955058860774,2285,MAJOR_ROAD,190447,80,213,192370,Grenåvej
56.2107989833621,10.269519082174156,56.207098572394976,10.267205839286817,555,MAJOR_ROAD,192787,67,246,229094,Mejlbyvej
56.17312782176926,10.161757688325906,56.17267848588397,10.153508571758266,640,MAJOR_ROAD,185290,70,138,186247,None
56.17941549701764,10.130153804893553,56.182637286706964,10.113531440475526,1095,MAJOR_ROAD,193402,70,269,229140,Viborgvej
56.0855852379219,10.124126151537894,56.10097260933967,10.140579996364522,2050,MAJOR_ROAD,197951,74,336,229455,None
56.11692219631463,10.202164315973278,56.12391430736949,10.185914784061424,1325,MAJOR_ROAD,201237,50,353,229489,Rosenvangs Alle
56.114487000000004,10.207854230653766,56.105069529457616,10.206927436840033,1075,MAJOR_ROAD,201481,60,362,229507,Oddervej
56.1589844936963,10.182944170639075,56.162446952950255,10.17839594725615,530,MAJOR_ROAD,188013,60,184,189740,None
56.161017815103236,10.21197608217426,56.14892750591274,10.209599775463175,1490,MAJOR_ROAD,190100,51,200,192344,Nørreport
56.18959388227456,10.07666460978703,56.18546282170713,10.096344851520598,1315,MAJOR_ROAD,193268,80,264,229130,Viborgvej
56.10097260933967,10.140579996364522,56.085683261757154,10.12394711408615,2050,MAJOR_ROAD,197977,74,337,229457,Landevejen
56.17243586196818,10.209219127208598,56.17606861552515,10.201770887067823,800,MAJOR_ROAD,187589,60,168,189708,None
56.1589844936963,10.182944170639075,56.159418709313904,10.187763760747885,515,MAJOR_ROAD,188066,53,186,189744,None
56.206985193530365,10.267323856483472,56.210806441766366,10.269670626983498,575,MAJOR_ROAD,192813,69,247,229096,Grenåvej
56.208646307573304,10.161157250404358,56.21399075104399,10.145073305557275,1220,MAJOR_ROAD,158744,93,15,160867,Søftenvej
56.154610138216704,10.157440224536913,56.148158423711955,10.149694601188685,1585,MAJOR_ROAD,187191,64,153,189678,None
56.163969409207326,10.185844404928275,56.159418709313904,10.187763760747885,725,MAJOR_ROAD,187960,54,182,189736,None
56.210237386910975,10.21333293005955,56.2049938543326,10.17926542270186,2280,MAJOR_ROAD,192492,62,235,229072,Sindalsvej
56.118198830180894,10.148353690807198,56.125743621869944,10.15788067857352,1195,MAJOR_ROAD,201908,71,378,229539,Ringvej Syd
56.14774074192765,10.158060728836062,56.151949698562795,10.17614185152047,1230,MAJOR_ROAD,184758,50,118,186207,Anker Jensens Vej
56.18461478101305,10.195804343585905,56.18324423193787,10.200790644180302,490,MAJOR_ROAD,184998,71,127,186225,None
56.179322409643085,10.175338207340246,56.17389164456407,10.182183959489976,740,MAJOR_ROAD,193213,50,262,229126,Paludan-Müllers Vej
56.105069529457616,10.206927436840033,56.09926842434083,10.209020390213027,665,MAJOR_ROAD,201535,60,364,229511,Oddervej
